uporabnik,tekma,rez_dom,rez_gos,tocke,gol_razlika
5,3029209,3,0,0,3
1,3029210,0,0,0,1
3,3029210,3,2,3,0
4,3029210,2,2,0,1
5,3029210,2,2,0,1
1,3029211,2,1,3,0
3,3029211,0,1,0,2
4,3029211,2,1,3,0
5,3029211,0,1,0,2
1,3029212,1,0,0,1
5,3029212,5,2,0,3
1,3029213,2,2,0,1
2,3029213,1,1,0,1
4,3029213,1,1,0,1
1,3029214,2,2,0,3
2,3029214,0,2,2,1
3,3029214,1,1,0,3
4,3029214,2,3,2,2
5,3029214,1,2,2,2
1,3029215,0,1,0,3
2,3029215,0,3,0,5
3,3029215,1,2,0,3
4,3029215,1,1,0,2
5,3029215,1,1,0,2
1,3029216,1,4,0,4
2,3029216,0,1,0,2
3,3029216,2,2,0,1
5,3029216,3,0,2,2
1,3029217,3,2,0,3
3,3029217,0,0,0,2
4,3029217,4,2,0,4
1,3029218,1,2,0,3
2,3029218,0,2,0,4
3,3029218,0,0,0,2
4,3029218,2,1,2,1
1,3029219,2,0,2,1
2,3029219,2,1,5,0
3,3029219,3,2,3,0
4,3029219,0,0,0,1
1,3029220,0,1,0,2
2,3029220,1,0,5,0
4,3029220,0,1,0,2
5,3029220,1,1,0,1
2,3029221,1,1,0,3
3,3029221,1,0,2,2
4,3029221,1,1,0,3
5,3029221,2,1,2,2
3,3029222,4,1,2,2
4,3029222,4,3,3,0
5,3029222,1,1,0,1
1,3029223,0,1,2,2
2,3029223,3,2,0,4
4,3029223,1,1,0,3
1,3029224,3,2,0,4
2,3029224,1,1,0,3
3,3029224,1,0,0,4
4,3029224,2,2,0,3
1,3029225,2,0,0,2
2,3029225,2,3,0,1
4,3029225,0,1,0,1
1,3029226,1,1,0,2
2,3029226,2,1,2,1
3,3029226,3,1,5,0
4,3029226,1,0,2,1
5,3029226,0,4,0,6
1,3029227,2,1,0,2
2,3029227,2,1,0,2
3,3029227,1,3,2,1
4,3029227,2,2,0,1
5,3029227,3,1,0,3
1,3029228,2,1,5,0
3,3029228,1,0,3,0
4,3029228,2,1,5,0
1,3029229,0,1,3,0
2,3029229,0,0,0,1
3,3029229,2,2,0,1
5,3029229,5,3,0,3
2,3029230,2,2,0,5
3,3029230,0,1,0,6
4,3029230,3,1,2,3
1,3029231,1,1,3,0
3,3029231,0,2,0,2
5,3029231,3,2,0,1
2,3029232,3,1,0,4
3,3029232,2,0,0,4
4,3029232,1,2,2,1
5,3029232,3,2,0,3
3,3029233,0,1,2,2
5,3029233,1,0,0,4
2,3029234,1,1,0,1
5,3029234,2,0,2,1
1,3029235,3,1,0,3
2,3029235,4,3,0,2
5,3029235,1,2,3,0
1,3029236,1,2,0,1
2,3029236,1,3,0,2
3,3029236,0,1,0,1
5,3029236,0,1,0,1
3,3029237,1,0,0,1
4,3029237,4,0,0,4
5,3029237,2,0,0,2
1,3029238,0,1,0,3
2,3029238,2,1,2,1
4,3029238,0,2,0,4
2,3029239,1,0,0,1
3,3029239,4,1,0,3
2,3029240,1,1,0,2
3,3029240,2,1,2,1
4,3029240,2,2,0,2
5,3029240,2,0,5,0
1,3029241,0,2,2,1
2,3029241,1,0,0,2
3,3029241,2,3,3,0
4,3029241,1,0,0,2
5,3029241,3,1,0,3
1,3029242,1,2,5,0
2,3029242,2,0,0,3
3,3029242,0,1,3,0
5,3029242,2,2,0,1
1,3029243,0,0,0,1
2,3029243,1,0,0,2
3,3029243,2,3,3,0
1,3029244,0,2,3,0
3,3029244,1,1,0,2
4,3029244,1,1,0,2
5,3029244,2,0,0,4
1,3029245,4,0,0,5
3,3029245,0,2,2,1
4,3029245,0,2,2,1
1,3029246,0,0,5,0
3,3029246,3,2,0,1
4,3029246,3,1,0,2
5,3029246,2,1,0,1
1,3029247,4,3,2,1
3,3029247,3,1,5,0
4,3029247,2,2,0,2
1,3029248,1,3,0,3
2,3029248,2,1,3,0
4,3029248,0,2,0,3
5,3029248,1,0,5,0
1,3029249,3,2,0,2
2,3029249,2,1,0,2
3,3029249,1,0,0,2
4,3029249,1,2,5,0
5,3029249,2,2,0,1
1,3029250,2,2,0,2
2,3029250,1,2,2,1
3,3029250,0,0,0,2
4,3029250,5,3,0,4
5,3029250,0,1,2,1
2,3029251,2,2,0,2
4,3029251,1,2,0,3
1,3029252,0,3,2,1
2,3029252,2,2,0,2
3,3029252,0,1,2,1
4,3029252,1,0,0,3
5,3029252,2,1,0,3
2,3029253,3,0,0,3
3,3029253,2,2,3,0
4,3029253,0,0,3,0
5,3029253,3,0,0,3
1,3029254,3,2,3,0
2,3029254,1,2,0,2
5,3029254,0,0,0,1
1,3029255,3,4,2,1
2,3029255,2,1,0,3
3,3029255,1,2,2,1
5,3029255,3,0,0,5
2,3029256,2,0,2,1
3,3029256,1,5,0,5
4,3029256,1,1,0,1
5,3029256,0,2,0,3
3,3029257,1,1,0,1
4,3029257,0,1,0,2
5,3029257,0,2,0,3
1,3029258,0,1,2,3
2,3029258,1,0,0,5
3,3029258,0,1,2,3
1,3029259,2,1,2,2
2,3029259,1,0,2,2
3,3029259,0,1,0,4
5,3029259,0,3,0,6
1,3029260,1,2,0,1
4,3029260,1,0,0,1
5,3029260,5,2,0,3
1,3029261,2,0,2,1
2,3029261,1,1,0,1
3,3029261,1,2,0,2
4,3029261,2,0,2,1
1,3029262,2,3,0,2
2,3029262,2,1,3,0
4,3029262,2,1,3,0
5,3029262,2,0,2,1
2,3029263,1,2,5,0
3,3029263,1,2,5,0
4,3029263,1,3,2,1
5,3029263,1,2,5,0
2,3029264,0,2,0,4
4,3029264,4,0,2,2
5,3029264,2,2,0,2
1,3029265,1,3,3,0
2,3029265,0,0,0,2
4,3029265,1,0,0,3
5,3029265,1,2,2,1
1,3029266,2,2,0,1
3,3029266,1,1,0,1
4,3029266,1,2,0,2
1,3029267,2,1,2,1
4,3029267,4,2,3,0
1,3029268,3,1,0,3
2,3029268,3,0,0,4
3,3029268,3,1,0,3
4,3029268,1,2,5,0
5,3029268,1,0,0,2
1,3029269,0,3,0,3
2,3029269,0,1,0,1
4,3029269,3,2,0,1
1,3029270,2,1,0,1
3,3029270,1,1,5,0
4,3029270,1,1,5,0
5,3029270,0,0,3,0
2,3029271,2,1,2,2
3,3029271,1,2,0,4
4,3029271,1,0,2,2
1,3029272,3,0,0,4
2,3029272,1,3,2,1
3,3029272,1,1,0,1
1,3029273,3,2,2,1
3,3029273,3,1,3,0
4,3029273,1,2,0,3
5,3029273,5,2,2,1
1,3029274,2,2,3,0
2,3029274,2,1,0,1
3,3029274,2,0,0,2
4,3029274,1,1,5,0
5,3029274,1,1,5,0
1,3029275,1,1,0,1
3,3029275,1,2,5,0
4,3029275,1,3,2,1
5,3029275,0,1,3,0
1,3029276,1,0,2,1
2,3029276,1,0,2,1
3,3029276,1,1,0,2
5,3029276,0,0,0,2
2,3029277,2,0,2,1
4,3029277,0,1,0,2
5,3029277,1,3,0,3
1,3029278,2,1,0,4
2,3029278,2,2,0,3
3,3029278,1,0,0,4
4,3029278,1,0,0,4
5,3029278,0,2,2,1
3,3029279,2,0,0,2
5,3029279,3,1,0,2
2,3029280,2,0,2,1
4,3029280,3,1,2,1
5,3029280,2,0,2,1
4,3029281,1,1,0,1
5,3029281,1,1,0,1
1,3029282,0,3,0,7
2,3029282,0,4,0,8
3,3029282,1,3,0,6
4,3029282,2,2,0,4
5,3029282,0,0,0,4
1,3029283,3,4,2,2
4,3029283,1,3,2,1
5,3029283,3,2,0,4
1,3029284,3,1,0,7
3,3029284,0,2,2,3
4,3029284,0,0,0,5
5,3029284,1,1,0,5
1,3029285,1,0,2,2
2,3029285,0,3,0,6
3,3029285,1,2,0,4
4,3029285,0,2,0,5
5,3029285,2,3,0,4
2,3029286,0,2,0,2
3,3029286,5,1,0,4
4,3029286,0,1,0,1
5,3029286,3,3,3,0
1,3029287,2,2,0,1
3,3029287,1,3,0,3
5,3029287,1,1,0,1
1,3029288,3,1,0,3
3,3029288,2,3,3,0
4,3029288,1,4,2,2
5,3029288,1,2,5,0
2,3029289,1,2,0,5
3,3029289,1,4,0,7
5,3029289,2,2,0,4
1,3029290,3,0,2,2
2,3029290,1,1,0,1
3,3029290,1,1,0,1
4,3029290,1,1,0,1
5,3029290,2,1,3,0
3,3029291,1,0,0,2
4,3029291,0,4,2,3
5,3029291,2,1,0,2
1,3029292,1,0,0,1
2,3029292,2,1,0,1
3,3029292,0,3,0,3
4,3029292,2,5,0,3
5,3029292,3,4,0,1
1,3029293,2,1,0,1
2,3029293,2,2,3,0
3,3029293,2,2,3,0
4,3029293,2,2,3,0
5,3029293,1,0,0,1
2,3029294,4,0,0,4
4,3029294,3,3,3,0
2,3029295,1,2,0,2
3,3029295,0,4,0,5
4,3029295,1,1,0,1
1,3029296,1,3,0,4
3,3029296,1,1,0,2
5,3029296,0,0,0,2
1,3029297,0,0,3,0
2,3029297,0,3,0,3
4,3029297,0,0,3,0
1,3029298,1,1,0,1
2,3029298,1,0,5,0
5,3029298,1,0,5,0
1,3029299,2,3,0,2
2,3029299,1,2,0,2
5,3029299,2,0,2,1
1,3029300,0,1,3,0
2,3029300,2,2,0,1
3,3029300,3,2,0,2
4,3029300,2,1,0,2
5,3029300,2,2,0,1
1,3029301,0,0,5,0
2,3029301,0,3,0,3
4,3029301,1,1,3,0
2,3029302,5,1,0,4
1,3029303,2,2,0,2
2,3029303,0,1,0,3
3,3029303,0,1,0,3
4,3029303,0,3,0,5
5,3029303,0,0,0,2
1,3029304,0,1,0,2
2,3029304,0,1,0,2
3,3029304,2,1,5,0
5,3029304,0,2,0,3
1,3029305,2,2,5,0
2,3029305,0,2,0,2
3,3029305,4,2,0,2
5,3029305,0,0,3,0
1,3029306,1,1,0,3
2,3029306,0,0,0,3
3,3029306,2,0,2,1
5,3029306,4,1,5,0
2,3029307,1,2,2,1
3,3029307,2,1,0,3
4,3029307,0,4,2,2
5,3029307,0,0,0,2
1,3029308,0,0,0,1
2,3029308,3,3,0,1
4,3029308,1,0,0,2
5,3029308,2,3,3,0
3,3029309,3,0,0,4
4,3029309,1,0,0,2
5,3029309,0,1,3,0
1,3029310,2,4,0,2
3,3029310,1,1,3,0
1,3029311,1,3,3,0
2,3029311,3,1,0,4
3,3029311,1,1,0,2
4,3029311,1,2,2,1
1,3029312,1,2,0,2
3,3029312,1,1,0,1
4,3029312,1,2,0,2
5,3029312,2,1,5,0
1,3029313,1,0,3,0
3,3029313,5,1,2,3
1,3029314,2,4,0,2
2,3029314,0,1,0,1
3,3029314,0,1,0,1
4,3029314,3,0,0,3
1,3029315,1,1,0,1
2,3029315,0,3,2,2
3,3029315,1,0,0,2
4,3029315,0,0,0,1
5,3029315,2,3,3,0
3,3029316,1,1,3,0
4,3029316,1,0,0,1
5,3029316,2,0,0,2
1,3029317,2,1,2,3
2,3029317,3,0,2,1
3,3029317,3,2,2,3
5,3029317,1,2,0,5
1,3029318,1,3,0,2
2,3029318,1,3,0,2
5,3029318,2,2,3,0
1,3029319,3,2,0,1
2,3029319,1,1,3,0
3,3029319,1,1,3,0
4,3029319,3,1,0,2
5,3029319,1,1,3,0
1,3029320,2,2,0,2
2,3029320,2,0,5,0
3,3029320,1,0,2,1
4,3029320,2,2,0,2
5,3029320,0,1,0,3
1,3029321,3,2,0,2
2,3029321,1,2,3,0
3,3029321,3,0,0,4
5,3029321,2,1,0,2
1,3029322,1,1,3,0
4,3029322,1,2,0,1
5,3029322,1,2,0,1
1,3029323,0,5,0,9
2,3029323,0,3,0,7
4,3029323,2,1,2,3
2,3029324,1,2,3,0
3,3029324,0,0,0,1
4,3029324,0,2,2,1
5,3029324,1,0,0,2
2,3029325,0,3,0,3
3,3029325,1,1,5,0
4,3029325,3,1,0,2
5,3029325,0,1,0,1
1,3029326,2,4,3,0
2,3029326,1,2,2,1
3,3029326,5,1,0,6
4,3029326,3,1,0,4
5,3029326,2,1,0,3
1,3029327,1,1,0,2
2,3029327,1,2,0,3
3,3029327,1,1,0,2
4,3029327,0,1,0,3
5,3029327,1,1,0,2
1,3029328,0,1,0,3
2,3029328,1,0,2,1
5,3029328,1,1,0,2
1,3029329,0,2,2,1
2,3029329,2,2,0,1
4,3029329,2,2,0,1
5,3029329,6,1,0,6
1,3029330,1,1,0,1
3,3029330,1,3,0,3
4,3029330,0,3,0,4
5,3029330,0,3,0,4
1,3029331,3,2,0,2
3,3029331,2,2,0,1
4,3029331,2,2,0,1
5,3029331,2,2,0,1
1,3029332,2,0,0,2
2,3029332,3,2,0,1
3,3029332,2,1,0,1
4,3029332,3,3,3,0
1,3029333,2,2,0,1
2,3029333,0,2,0,3
3,3029333,1,2,0,2
4,3029333,2,0,2,1
1,3029334,1,0,2,2
2,3029334,0,1,0,4
5,3029334,0,4,0,7
1,3029335,1,0,3,0
3,3029335,1,1,0,1
2,3029336,1,1,0,1
3,3029336,1,2,0,2
4,3029336,0,0,0,1
5,3029336,0,0,0,1
2,3029337,3,1,0,3
3,3029337,2,0,0,3
4,3029337,0,2,2,1
5,3029337,1,1,0,1
1,3029338,0,3,0,4
2,3029338,1,2,0,2
3,3029338,3,1,2,1
4,3029338,0,1,0,2
5,3029338,5,2,2,2
1,3029339,2,1,2,2
2,3029339,1,0,2,2
3,3029339,0,0,0,3
4,3029339,2,0,2,1
2,3029340,2,1,0,1
3,3029340,2,4,0,2
